'umra	umrah
charism	karisma
charisma	karisma
charitable	belas kasihan
charity	amal
charlatan	dukun | penipu
charley horse	kruk
charm	jimat | pesona | daya tarik | gaib
chart	tangga lagu
charter	piagam
chartered accountant	akuntan publik
chase	mengejar | pengejaran
chaser	destroyer
chasm	jurang
chasma	chasma
chassis	sasis
chaste	suci
chastity	kesucian | kemurnian | kesederhanaan
chasuble	kasula
chat	mengobrol | kongko | obrol | obrolan
chat room	ruang bincang | ruang ngobrol
chat up	menyalakan
chattel	arwah
chatter	mengoceh
chatty	cerewet
chauffeur	supir | sopir
chauvinism	sauvinisme
chayote	labu | labu jepang | labu siam | waluh
cheap	murah | murahan
cheaply	murah
cheapskate	kedekut | kikir
cheat	berselingkuh
cheat on	berselingkuh
cheat sheet	golok
check	periksa | kotak | pemeriksaan | kendali | kontrol | centang
check in	lapor masuk
check out	lapor keluar | bayar keluar | memeriksa | meninggal | menyimak | tewas
check rail	rel paksa
check through	bahas
checkerboard	papan catur
checkered	catur
checklist	daftar centang
checkmate	sekakmat | skakmat | syahmat
checkout	brankas
checks and balances	periksa dan timbang
cheek	pipi
cheeky	angkara
cheep	ciak
cheer up	keperkasaan
cheerful	girang
cheerio	hai
cheers	tos | bersulang
cheese	keju
cheese it	kepedulian
cheeseburger	burger keju
cheesecake	cheesecake | kue keju
cheesemaking	pembuatan keju
cheesy	berkeju
cheetah	citah
chef	koki
chelation	kelasi | pengkelatan | penyepitan
chemical	kimiawi | kimia
chemical biology	biokimia
chemical bond	ikatan kimia
chemical compound	senyawa kimia
chemical element	unsur kimia
chemical engineering	teknik kimia
chemical formula	rumus kimia
chemical weapon	senjata kimia
chemically	secara kimia
chemist	kimiawan
chemistry	kimia | kemistri
chemokine	kemokin
chemotherapy	kemoterapi
chempedak	cempedak
chenille	kendaraan roda rantai
cheque	cek
cherish	memuja
cheroot	cerutu
cherry	ceri | pohon ceri
cherub	kerub
chess	catur
chess piece	buah catur
chess player	pecatur
chessboard	percaturan
chest	dada | toraks
chest of drawers	lemari
chestnut	kastanye | berangan | lakci | merah manggis | kayu berangan
chestnut munia	bondol cokelat
chestnut tree	kastaniero
chevrotain	kancil | pelanduk
chew	kunyah
chew the cud	memamah biak
chewing gum	permen karet
chewing tobacco	tembakau kunyah
chez	dekat
chi	qi
chiaroscuro	chiaroscuro
chick	anak ayam
chicken	ayam | manuk | penakut | pengecut
chicken pox	cacar
chickpea	kacang Arab | kacang arab
chide	bentur
chief	kepala
chief executive officer	direktur utama | dirut
chieftain	kepala suku
chiffon	sifon
chiffon cake	keik sifon
chiffonier	pemulung
chignon	gelung
chikungunya	cikungunya | flu tulang
child	anak | kanak | bocah
child benefit	bantuan anak
child carrier	kain penyandang
child labour	pekerja anak | buruh anak
child support	nafkah cerai
child trafficking	perdagangan anak
child's play	paus
childbirth	kelahiran | parturisi | partus | persalinan
childcare	tempat penitipan anak
childish	kekanak-kanakan
children's hospital	rumah sakit anak
chili	cabai | lombok
chili pepper	cabai | cabe
chill	dingin
chiller	kulkas
chilling effect	efek jeri
chilly	dingin
chime	bunyi
chimera	khimaira
chimney	cerobong
chimney stack	cerobong
chimpanzee	simpanse
chin	dagu
chin up	keperkasaan
chinchilla	chinchilla
chinless	berengsek
chinois	Tionghoa
chip	cip | keripik
chip off the old block	hari
chipboard	papan partikel
chipmunk	tupai chipmunk
chipper	gembira
chiral	kiral
chirality	kekiralan | kiralitas
chiropter	kalong
chirp	ciak
chisel	alat ukir kayu
chit	menggigit
chitin	kitin
chivalry	kepahlawanan
chive	lokio | bawang batak
chlamydia	klamidia
chloride	klorida
chlorine	klorin
chloroform	kloroform
chlorogenic acid	asam klorogenat
chlorophyll	klorofil
chocolate	coklat | cokelat
chocolate bar	cokelat batangan
chocolate milk	susu cokelat
choice	pilihan
choir	kor | paduan suara
choke	menenggelamkan
cholecystectomy	kolesistektomi
cholera	kolera
cholesterol	kolesterol
choose	memilih | pilih
choosy	sukar
chop	babat
chop suey	capcai
chopped liver	hati cincang
chopper	pisang
chopstick	sumpit | penjepit | penyepit | sepit
chord	akor | tali busur
chore	tugas
chorea	korea
choreographer	koreografer | koreograf
choreography	koreografi
chorion	korion
chortle	berkokok
chorus	jantung
chow	makan
chow down	mengisi
choy sum	caisim | sawi hijau
chrism	krisma
christening	baptisan
christian	Kristen
chromakey	kunci kroma
chromatic	kromatis
chromatin	kromatin
chromatography	kromatografi
chromium	kromium
chromophore	kromofor
chromosomal	kromosom
chromosome	kromosom
chromosphere	kromosfer
chronic	kronis
chronic bronchitis	bronkitis kronis
chronicle	babad | kronik | tarikh
chronicler	penulis kronik
chrono-	krono-
chronological	kronologis
chronology	kronologi
chronometer	waktu
chrononormativity	heteronormativitas
chrysanthemum	seruni
chrysolite	krisolit | zabarjad
chrysoprase	krisopras
chuck	sampil
chuckle	berkokok
chuffed	puas
chug	raungan
chum	kawan
chummy	sosial
chump	bebal
chunder	muntah
chunk	ruang
church	gereja | Misa
churchyard	kuburan
churlish	kasar
churn	alat pembuat mentega
churro	cakwe spanyol | curo
chute	payung terjun
chutney	chutney
chyme	kimus
chytridiomycosis	sitridiomikosis
ciborium	sibori
cicada	tonggeret
cider	sari apel | sider | soda apel | arak apel
cigar	cerutu | sigar
cigarette	rokok
cincture	singel
cinder	abu
cinder block	batako
cineast	sineas
cinema	bioskop | sinema
cinereous	pirau
cinnabar	sinabar
cinnamic acid	asam sinamat
cinnamon	kayu manis
cinnamon stick	kayumanis
cinque	seng
cipher	angka
circa	kira-kira
circadian	sirkadian
circle	lingkaran | bundar | keliling | kitar | lingkar
circle jerk	colingkar
circle runner	linier
circuit	lintas balap
circuit board	plaket
circuit breaker	pemutus arus | pemutus daya | pemutus rangkai | pemutus sirkit | pemutus sirkuit | pemutus tenaga
circuitous	putar | tidak langsung
circular	bundar
circular arc	busur
circular economy	ekonomi sirkular
circular letter	surat edaran
circular sector	juring
circular segment	tembereng
circulation	peredaran | perputaran
circulatory system	sistem kardiovaskular | sistem peredaran darah
circumcise	mengkhitan | menyunat
circumcision	khitan | sirkumsisi | sunat
circumflex	sirkumfleks
circumnavigation	sirkumnavigasi
circumspect	berhati-hati
circus	sirkus
cirque	sirkus
cirrhosis	sirosis
cistern	perigi
citation	kencan
citation needed	butuh rujukan
citizen	warga | rakyat | warga negara | warga kota | warga sipil
citizen journalism	jurnalisme warga
citizenry	warga negara
citizenship	kewarganegaraan | kependudukan
citric acid	asam sitrat
citric acid cycle	siklus asam sitrat | daur asam sitrat
citronella	serai
citrus	jeruk | limau
citrus fruit	jeruk
city	kota
city block	kandang kuda
city council	dewan kota
city hall	kantor walikota
city state	negara kota
civet	musang
civic	rakyat
civil	sipil | beradab | perdata
civil defense	pertahanan rakyat | pertahanan sipil
civil disobedience	pembangkangan sipil
civil engineering	teknik sipil
civil law	hukum perdata | hukum sipil | sistem hukum Eropa kontinental
civil rights	hak asasi manusia
civil servant	pegawai negeri | amtenar | pamong praja
civil service	aparatur sipil negara
civil society	masyarakat madani | masyarakat sipil | kelompok masyarakat | peradaban
civil union	persatuan sipil
civil war	perang saudara
civilian	sipil
civility	adab
civilization	peradaban
civilized	beradab
clad	menutupi
cladding	selubung
clade	klad
claim	tuntutan
clairvoyance	kewaskitaan
clairvoyant	waskita
clam	tiram
clam up	diam
clamor	klamado
clamp	sersan
clamshell	kulit kerang
clan	klan
clandestine	diam-diam | klandestin
clang	bunyi
clap	palam
clapper	bahasa
claque	tamparan
claret	claret
clarinet	klarinet
clarion	selompret
clarity	kejelasan
clasp	gesper
class	kelas
class consciousness	kesadaran kelas
class struggle	perjuangan kelas
classical language	bahasa klasik
classical mechanics	mekanika klasik
classical music	musik klasik
classification	klasifikasi
classified advertisement	iklan baris
classifieds	iklan baris
classify	mengelaskan | mengelompokkan | mengklasifikasi | mengklasifikasikan
classless	tanpa kelas
classmate	rekan
classroom	ruang kelas
classy	apik
clatter	bekertak
claustrophobia	klaustrofobia
clavicle	klavikula | tulang cenak | tulang selangka
claw	cakar
claw clip	piranha
clay	tanah liat
claycourt	lapangan gravel
clean	bersih
cleanliness	kebersihan
cleanroom	kamar bersih
cleansing	detergen
clear	bening | jelas | jernih | cerah | menghapus | membersihkan
clear cut	benderang
clear one's throat	mendeham
clearance	bersihan
clearing	kliring
clearing bank	bank kliring
clearly	jelas
clearness	kecerahan
cleavage	belahan dada
cleave	membelah
cleaver	pisau
clef	kunci | kunci musik
clemency	belas kasihan
clergyman	klerus
clerk	kerani | klerek | panitera
clever	pintar
cliché	klise
click	mengeklik
client	pelanggan | kelayan | klien
clientele	pelanggan
cliff	tebing
climate	iklim
climate change	perubahan iklim
climate emergency	darurat iklim | krisis iklim
climatology	klimatologi
climax	orgasme
climb	memanjat | mendaki
climbing	pemanjatan
climbing perch	betok
clinch	penambat rel
cling	gantung | sangkut
clinic	klinik
clinical	klinis
clinical psychology	psikologi klinis
clinician	klinisi
clink	bunyi
clip	belah
clipboard	papan kerani | papan klip | papan tempel
clipper	kliper
clit	itil | kelentit | klentit
clitic	klitik
clitoral hood	tudung klitoris
clitoris	klitoris | kelentit
cloaca	kloaka
cloak	mantel
cloakroom	kabin
clobber	menggilas
cloche	lonceng
clock	jam | lonceng
clock face	muka jam
clock in	ada
clock tower	menara jam
clockwise	arah jam | searah jarum jam
clod	tolo
clodhopper	angsa
clog	menyumpal
clone	klona
close	tutup | dekat | menutup
close down	menutup
close in on	mendekati
close one's eyes	mengingkari
close, but no cigar	dekat tak tercapai, jauh tak berantara
close-fitting	erat
close-knit	rapat
closed	tertutup
closed syllable	suku kata tertutup
closely	dekat
closeness	keeratan
closet	lemari
closing	pamungkas
clot	bebal
cloth	kain
clothe	berpakaian
clothes	pakaian
clothes iron	setrika
clothes moth	gegat
clothes peg	jepitan jemuran
clothes shop	toko pakaian
clotheshorse	jemuran
clothesline	tali jemuran
clothing	pakaian
clotted cream	kaymak
cloud	awan | mega
cloud chamber	kamar kabut
cloud over	meliput
cloudberry	buah beri kuning
clouded leopard	macan dahan
cloudy	berawan
clout	bacok
clout nail	paku
clove	cengkih | siung
clover	semanggi
clown	badut
clown around	kera
club	klab | klub
club moss	paku kawat
cluck	berkokok
clue	petunjuk
clueless	ide
clump	baris
clumsy	canggung
clunky	campa
cluster	gugus
clutch	kopling | pedal kopling
clutter	keadaan berantakan
cluttering	gangguan irama bicara
co-	ko-
co-cathedral	konkatedral
co-ed	mahasiswi
co-parent-in-law	besan | bisan
coach	gerbong | pelatih | bus besar | bus jarak jauh
coach driver	kusir
coachwork	karoseri
coadjutor	koajutor
coal	batu bara | kol | batubara
coal black	hitam arang
coalesce	mempersatukan
coalescence	peleburan
coalition	koalisi
coarse	campa
coast	pantai
coaster	takatan | takatan bir | takatan minum | takatan minuman
coat	mantel
coat of arms	lambang | lambang negara
coat of mail	zirah
coating	ketombe
coaxial cable	kabel sepaksi
cob	angsa
cobalt	kobalt
cobble together	mengakali
cobbler	polisi
cobra	kobra | tedung
cocaine	kokaina
coccus	kokus
coccyx	koksiks | tulang ekor | tulang sulbi | tulang tongkeng
cochlea	koklea
cock	burung jantan | jago | kontol | mengokang
cock pigeon	burung dara
cock-a-doodle-doo	kukuruyuk
cock-and-bull story	cerita pendek
cockamamie	digeser
cockatoo	burung kakatua | kakatua | burung kakaktua
cocked	mabuk
cockerel	ayam
cockfight	sabung ayam
cockfighting pit	persabungan
cockroach	kecoak | kecoa | kacoa
cockscomb	jengger ayam
cocksucker	bajingan | bangsat | bedebah | berengsek | cukimai | keparat
cocktail	koktail
cocky	pongah
cocoa	kakao
cocoa powder	bubuk kakao
coconut	kelapa | nyiur
coconut heart	tombong | tumbung
coconut milk	santan
coconut palm	pohon kelapa
coconut vinegar	cuka kelapa
cocoon	kepompong
cod liver oil	levertran | minyak hati ikan kod | minyak ikan kod
coda	koda
coddle	memanjakan
code	kitab undang-undang
code-switching	alih kode
codebook	buku sandi
codex	kodeks
codification	kodifikasi
coding	kode
coeducation	koedukasi
coelacanth	ikan raja laut | latimeria
coenzyme Q	koenzim Q
coerce	menawan
coercion	paksaan
coercive	koersif
coeval	kontemporer
coexistence	koeksistensi
coffee	kopi | biji kopi
coffee cup	cangkir
coffee grounds	ampas kopi
coffee table	meja kopi
coffer	brankas
coffin	peti jenazah | peti mati | peti mayat | keranda
cog	gigi
cogent	telak | yakin
cognac	konyak
cognate	kata kerabat | kata seasal | kognat
cognitive psychology	psikologi kognitif
cognomen	julukan
cognoscente	ahli
cohabitation	kohabitasi
cohesion	kohesi
cohesive	kohesif
cohort	kohor
coif	potongan rambut
coil	pegas
coin	keping | koin
coin of the realm	uang
coin-op	mentha
coincidence	koinsidensi
coir	sabut
coitus	koitus
coke	arang
col	kerah
cola	kola
colander	penapis
cold	dingin | pilek
cold chain	rantai dingin
cold sore	herpes
cold storage	gudang dingin
cold sweat	keringat dingin
cold war	perang dingin
cold-blooded	berdarah dingin
coldness	dingin
cole	kol
colewort	kol
colic	kolik
collaborate	kerjasama | berkolaborasi | berkhianat
collaboration	kerja sama | kolaborasi
collaborative	kolaboratif
collaborator	kolaborator
collage	kolase
collapse	kolaps
collar	kerah | krah
collard	sawi keriting
collateral	barang jaminan
colleague	rekan kerja
collect	mengutip
collection	koleksi | kumpulan
collective	kolektif
collector	pengumpul
college	kampus
college town	kota perguruan tinggi
collegial	kolegial
collegiality	kolegialitas
colligative	koligatif
collision	benturan
collision course	jalur tabrakan
colloid	koloid
colloquialism	kolokialisme
colloquium	kolokium
colloquy	mengandung percakapan
collude	berkomplot
collusion	kolusi
colly	hitam
cologne	eau de cologne | kelonyo
colon	titik dua
colonel	kolonel
colonialism	kolonialisme
colonist	kolonis
colonize	mengkolonisasi
colony	koloni
color	warna | rona | pataka
color blind	buta warna
color blindness	buta warna
colorectal	kolorektal
colored pencil	pensil warna
colorization	pewarnaan
colostrum	kolostrum
colourant	pewarna
colt	anak kuda
column	barisan | kolom | kolone | gumpalan
columnist	kolumnis
colza	kubis
coma	koma
comb	sisir
combat	bertempur
combatant	kombatan | petempur
combe	koma
combination	kombinasi
combinatorics	kombinatorika
combine harvester	pemanen kombinasi
combustion	pembakaran
combustion chamber	ruang bakar
come	datang
come about	lanjut
come after	mengikuti
come again	apa
come along	baris
come and go	berseliwaran
come back	balik | kembali
come between	memisahkan
come by	menemukan
come down	menghilir
come down with	menyusutkan
come from	ada
come into being	lahir
come of age	berumur
come on	ayo | ayolah!
come out of the closet	melela
come to	datang
come to one's senses	sadarkan diri
come to pass	terjadi
come together	mengalir
come up	mendekati
come up with	meciptakan
come-on	ayolah
comedian	komedian | pelawak
comedy	lawak | humor | komedi
comely	cantik
comet	komet
comeuppance	kualat
comfort	kenyamanan | kepuasan
comfort food	makanan rumahan
comfort woman	wanita penghibur
comfort zone	zona nyaman
comfortable	aman
comic	cergam | cerita bergambar | komik
comic book	komik
comic strip	komik
comma	koma
command	aba-aba
commander	komandan | panglima | mayor
commander in chief	panglima tertinggi
commanding officer	komandan
commandment	firman | rukun | titah
commando	komando
commemorate	memperingati
commemoration	peringatan
commence	memulai
commencement	wisuda
commend	menyanjung
comment	komentar | mengomentari
commentary	komentar | ulasan
commentator	pengulas
commenter	pengulas
commerce	perdagangan
commercial	iklan | komersial
commercial bank	bank umum
commercialization	komersialisasi | pengomersialan
commiserate	berbelas kasihan
commiseration	kesedihan
commissar	komisar | komisaris
commissariat	komisariat
commission	komisi | kamsen
commission agent	agen
commissioner	notaris
commit	melakukan
commit suicide	bunuh diri
commitee	dewan
commitment	komitmen
committed	berkomitmen
committee	komite | panitera | panitia
commode	pelana
commodification	komodifikasi
commodious	pantas
commodity	barang | barang-barang | komoditas
common	umum | sama
common buzzard	elang buteo
common carp	ikan mas
common clothes moth	gegat
common cold	pilek
common crane	burung jengjang
common dandelion	jombang
common difference	alasan
common fraction	pecahan biasa
common kestrel	alap-alap erasia
common kingfisher	idju-idju walanda
common quail	puyuh
common ratio	alasan
common raven	gagak besar
common redshank	trinil kaki-merah
common sense	akal sehat
common thread	benang merah
common yarrow	daun seribu
commoner	orang awam | rakyat biasa | rakyat umum | jelata
commonly	acap kali
commonplace	biasa
commonwealth	persemakmuran
communal	awam
commune	komune
communicable	berjangkit | menular
communicant	komunikan
communicate	berkomunikasi
communication	komunikasi
communication studies	ilmu komunikasi
communicative	komunikatif
communion wafer	hosti
communiqué	komunike
communism	komunisme
communist	merah
communist party	partai komunis
community	komunitas | kelompok
community college	akademi komunitas
community service	pengabdian masyarakat
commutation	komutasi | pergantian
commutative	komutatif
commuter	komuter | pengelaju
comorbid	komorbid
comorbidity	komorbiditas
comp	mendampingi
compact	kontrak
compact disc	piringan padat
compact star	bintang padat
companion	satelit
companion animal	binatang peliharaan
companionable	sosial
companionship	persahabatan
company	perusahaan | kompi | firma | syarikat | besuk | usaha
comparative	komparatif | pelebihan | pembanding | perbandingan
comparative advantage	keunggulan komparatif
comparative anatomy	anatomi perbandingan
compare	bandingkan
comparison	perbandingan | komparasi | banding
compartment	kompartemen
compass	kompas | padom
compass point	mata angin
compass rose	mawar kompas
compassion	belas kasih
compassionate	berbelas kasih
compatibility	kompatibilitas
compatriot	kompatriot
compendium	kompendium
compensate	membayar
compensation	ganti rugi | ganti untung | kompensasi | pampasan
compete	bersaingan
competence	keterampilan
competency	keterampilan
competent	kompeten
competition	kompetisi | pertandingan | perlombaan | persaingan | sayembara
competitive	kompetitif
competitive advantage	keunggulan kompetitif
competitiveness	daya saing
competitor	pesaing | saingan
compilation	kompilasi
compile	belok
compiler	kompilator
complain	adu | mengeluh | merajuk
complainer	penggerutu
complaint	rintihan
complaisant	sopan
complement	menggenapi
complementary	komplementer
complete	komplit | lengkap | sempurna | menyelesaikan | merampungkan
completed	jadi
completely	seluruhnya
completeness	kelengkapan
complex	kompleks | rumit | pelik | runyam
complex number	bilangan kompleks
complex sentence	kalimat majemuk bertingkat
complexion	warna kulit muka
complexity	kekompleksan | kerumitan | kompleksitas
compliance	kepatuhan
compliant	patuh
complicated	rumit
complication	komplikasi
complicit	sekongkol
complimentary	gratis
component	komponen
compos mentis	bertanggung jawab | compos mentis | dengan sadar
compose	mewujudkan
composer	komponis
composition	komposisi
compost	kompos
compote	saus
compound	majemuk | senyawa
compound interest	bunga berbunga | bunga majemuk
compound sentence	kalimat majemuk setara
compound word	kata majemuk
comprehend	mengerti
comprehensibility	pemahaman
comprehensible	dapat dimengerti | terpahamkan | yang dpt dimengerti | yang dpt dipahami
comprehension	memahami
comprehensive	komprehensif
compress	kompres
compression	kompresi
compressor	kompresor
comprise	memuat
compromise	kompromi
compulsory	wajib
computation	komputasi
computer	komputer
computer engineering	teknik komputer
computer game	permainan komputer
computer language	bahasa komputer
computer literacy	literasi komputer
computer program	program komputer
computer programming	pemrograman
computer science	ilmu komputer | informatika
computer scientist	informatika
computer security	keamanan komputer
computing	komputasi
comrade	kamerad
con	mudarat
con artist	penipu
con game	kudeta
concatenation	rantai
concave	cekung
conceal	menyembunyikan | menyamarkan
concealer	penyamar noda
concealment	kerahasiaan
conceit	ide
conceive	kehamilan
concentration	konsentrasi | pemusatan
concentration camp	kamp konsentrasi
concentric	konsentris
concept	konsep
concept album	album konsep
conception	kehamilan
conceptual	konseptual
conceptualisation	konseptualisasi
concern	kecemasan | perhatian
concert	konser
concertina	akordeon
concerto	konserto
concession	konsesi
concessive	konsesif
conch	klakson
conciliate	menenangkan
conciliation	konsiliasi
concise	ringkas
conclave	konklaf
conclude	menyimpulkan
conclusion	kesimpulan | konklusi | simpulan
conclusive	memadai
concoct	mewujudkan
concordance	konkordansi
concordat	konkordat
concourse	terminal
concrete	beton | corcoran | konkret | jelas | nyata
concubinage	pergundikan
concubine	selir
concurrency	konkurensi
concurrent	kini
concussion	gegar otak
condemn	mengecam | mengutuk
condemnation	hukuman
condensate	kondensat
condensation	kondensasi
condensed milk	susu kental manis
condenser	kondensor
condign	cocok
condition	kondisi | keadaan | syarat
condole	berbelas kasihan
condom	kondom
condominium	kondominium
condone	memaafkan
condor	kondor
conducive	kondusif
conduct	penampilan
conductivity	daya hantar | konduktivitas
conductor	kondektur | dirigen | konduktor | penghantar
conduit	bandar
cone	kerucut
cone cell	sel kerucut
confection	olahan gula
confectionery	gula-gula | permen
confederacy	konfederasi
confederation	konfederasi
confer	beri
conference	konferensi
conferencier	penceramah
confession	pengakuan
confessions page	halaman pengakuan
confetti	konfeti
confide	curhat
confidence	percaya diri
confidence interval	selang kepercayaan
confident	yakin
confidential	rahasia
configuration	konfigurasi
configure	mengonfigurasikan
confine	batas
confirmation	konfirmasi | krisma | penguatan
confiscate	menyita
confiture	selai
conflagration	kebakaran
conflate	mengelirukan
conflict	berkonflik | bertikai | konflik | pertikaian | bentrok | bentrokan
conflict of interest	konflik kepentingan | benturan kepentingan
confluence	kuala
conformation	konformasi
confuse	mengelirukan
confusion	kesimpangsiuran
congee	bubur
congenial	enak
congenital	kongenital
congestion	kemacetan
congrats	selamat
congratulations	selamat
congregation	jemaah | jemaat | kongregasi
congress	kongres
congruent	sebangun | kongruen
conic section	irisan kerucut
conifer	konifera
conjecture	konjektur
conjugation	konjugasi | tasrif
conjunction	kata penghubung | konjungsi | kata konjungsi
conjunctiva	konjungtiva
conjure	memanggil
conjurer	ahli sihir
conk	bahasa
conman	maling
connect	menghubungkan
connection	hubungan | koneksi | hubung | kait | sambung
connectivity	keterhubungan | konektivitas
connotation	konotasi
connote	belit
conqueror	pemenang
conscience	hati nurani
conscious	sadar
consciousness	kesadaran
conscription	wajib militer
consecrate	menahbiskan
consecration	konsekrasi | penahbisan
consensus	konsensus | kesepakatan
consent	rela | setuju
consequence	akibat
consequent	konsekuen
conservation	konservasi
conservative	konservatif
conservator	konservator
conservatory	rumah kaca
conserve	mengasamkan
consider	anggap | berencana | mempertimbangkan | menganggap
considerable	penting
consideration	konsiderasi | pertimbangan
considering	karena
consist	rangkaian
consistency	konsistensi
consistent	konsisten | panggah | taat asas
consolidation	konsolidasi
consommé	konsom
consonant	konsonan | huruf mati
consonant cluster	deret konsonan
consort	konsorsium
consortium	konsorsium
conspicuous	termashur
conspiracy	permufakatan jahat | persekongkolan | konspirasi
conspirator	konspirator
conspire	berkomplot | bersekongkol
constant	tetap | konstan | konstanta
constantly	terus-menerus
constellation	konstelasi | rasi bintang
constipation	sembelit
constituency	daerah pemilihan
constituent	konstituen
constitute	merupakan
constitution	konstitusi | undang-undang dasar | resam tubuh
constitutional court	mahkamah konstitusi
constitutional monarchy	monarki konstitusional | kerajaan konstitusional
constitutionalism	konstitusionalisme
construal	interpretasi | pemahaman
construct	membangun
constructed language	bahasa buatan
construction	konstruksi | pembangunan
constructive	konstruktif
constructor	istal
construe	terjemahan
consul	konsul
consular	konsuler
consulate	konsulat
consult	berkonsultasi
consultant	konsulen | konsultan
consultation	konsultasi
consultative	konsultatif
consume	memakai
consumer	pemakai | pengguna
consumer price index	indeks harga konsumen
consumerism	konsumerisme
consummation	konsumasi
consumption	konsumsi
contact	menyentuh
contain	mengandung | kandung
container	kontainer | peti kemas
container ship	kapal peti kemas
contaminant	kontaminan
contamination	perancuan
contemn	menista
contemplate	mempelajari
contemporaneous	kontemporer
contemporary	kontemporer | modern | masa kini | satu jaman dengan | sejaman dengan
contempt	kenistaan
contemptible	nista
content	isi
contentious	agresif
contest	kompetisi
context	konteks
contiguous	berdekatan
continent	benua | kontinen
continental shelf	paparan benua
contingency	ganti rugi
contingency table	tabel kontingensi
continue	mengikuti
continuity	kontinuitas
continuous	kontinu | terus-menerus
continuously	terus-menerus
contraband	seludupan
contrabass	kontrabas
contraception	kontrasepsi
contraceptive	pengaturan fertilitas
contract	kontrak
contract law	hukum kontrak
contraction	kontraksi
contractor	anemer | pemborong
contradiction	kontradiksi | percanggahan
contradiction in terms	kontradiksi
contraption	aparat
contrast	kontras
contribute	menyumbang
contribution	peran | kontribusi
contrite	dengan
contrivance	aparat
contrive	meciptakan
contrived	sumbing
control	mengontrol | mengendalikan | kawalan | kendali | kontrol
control engineering	teknik kendali | teknik kontrol
control panel	panel kontrol | panel pengatur
control tower	menara pengawas
controlled vocabulary	kosakata terkendali
controller	kondektur
controversial	kontroversial
controversy	kontroversi | perdebatan
contumelious	angkara
contumely	bahasa
contusion	memar
conundrum	tebakan
conurbation	konurbasi
convection	konveksi
convenience	maslahat
convenience store	minimarket | toko kelontong | toko swalayan
convenient	cocok
convent	asrama
convention	kontrak
conventional	konvensional
convergence	konvergensi | pemusatan
convergent	konvergen
conversation	percakapan
converse	berbahasa
convert	mengubah
converter	pengubah
convex	cembung
convey	mengirim
convict	narapidana | terpidana | menyatakan bersalah
conviction	pemidanaan | pidana
convince	meyakinkan
convoluted	rumit
convoy	iring-iringan | konvoi
convulse	kejang
coochie	tempik
coochy	memek
cook	koki | masak
cookbook	buku masak
cooked rice	nasi
cooker	kompor
cookie	biskuit | kukis
cooking	memasak
cooking oil	minyak goreng
cool	keren | sejuk
cool down	menenangkan
coolant	minuman ringan
cooler	kulkas
coolie	kuli | pekerja kasar
cooling	minuman ringan
cooling center	pusat pendingin
cooling tower	menara pendingin
coolness	baru
coop	kandang ayam
cooperate	bekerja sama
cooperation	kerja sama | koperasi
cooperative	koperasi
coordinate	mengatur
coordinator	koordinator
cop	polisi
copernicium	kopernisium
copier	mesin fotokopi
copolymer	kopolimer
copper	tembaga
copper sulfate	terusi
copra	kopra
coprime	relatif prima
coprophagy	koprofagia
copse	belukar
copula	kopula
copulate	bersetubuh
copulation	kopulasi
copy	salin | eksemplar
copy that	dikopi | dimengerti
copy-paste	menyalin tempel | salin tempel | salinan tempel
copycat	peniru
copyedit	mengoreksi
copyist	penyalin
copyright	hak cipta
copyright infringement	pelanggaran hak cipta
copywriter	penulis wara
coral	karang
coral reef	terumbu karang
coral snake	ular karang
coral tree	dedap
corban	korban
corbel	burung gagak
cord	jalur listrik
cordial	sirup
cordon	rantai
core	inti
core competency	kompetensi inti
core sample	wortel
coriander	ketumbar
cork	gabus
cork oak	gabus
corkscrew	kotrek
corn	jagung
corn chip	keripik jagung
corn oil	minyak jagung
corncob	tongkol jagung
cornea	kornea
corned beef	kornet
corner	belok
cornett	seng
cornflour	kanji
cornstarch	kanji
cornucopia	kornukopia
corny	murahan
corollary	akibat | korolari | teorema akibat
corona	mahkota | korona
corona glandis penis	korona glans penis | mahkota zakar
coronation	penobatan | pemahkotaan | penabalan
coronavirus	koronavirus | virus korona
coroner	koroner
coronet	karangan bunga
corporal	kopral | korporal | korporale
corporate	korporat | korporatif
corporate university	universitas perusahaan | wiyata kinarya
corporation	perseroan terbatas terbuka
corporatism	korporatisme
corps	awak
corpse	jenazah | mayat | batang
corpus	korpus
correct	tepat
correction	koreksi
correction fluid	cairan
corrective	korektif
correctly	betul-betul
correlation	korelasi
correlative	korelatif
correspondence	babad
correspondent	koresponden
corridor	koridor
corridors of power	koridor kekuasaan
corrie	sirkus
corrigendum	cangkang
corrode	makan
corrosion	korosi
corrugate	minggu
corruption	korupsi | penyuapan | rasuah
corsac fox	rubah korsak
corsage	korsase
corsair	bajak laut
cortege	kereta api
cortex	kulit kayu
cortisol	kortisol
corundum	korundum
corvee	kerja paksa | kerja rodi | korve | rodi
corvette	korvet
corvid	gagak
cosmetic surgery	bedah plastik
cosmic dust	debu antariksa | debu ekstraterestrial | debu kosmik
cosmo-	kosmo-
cosmodrome	kosmodrom
cosmogony	kosmogoni
cosmology	kosmologi
cosmonaut	antariksawan
cosmos	kosmos
cost	biaya | ongkos
cost-benefit analysis	analisis biaya-keuntungan | analisis biaya-manfaat
costly	mahal
costume	kostum
coterie	bundaran
cottage	gubuk
cottage cheese	cottage
cotton	katun | kapas | kapuk
cottonwood	hawar
cotyledon	kotiledon
couch	dipan
couch potato	sayur
